DatGeracaoConjuntoDados;SigTipoGeracao;QtdUsinasPeriodo;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2024-09-01;PCH;425;5599638,57;9 ;2022
2024-09-01;UHE;216;103189722,00;9 ;2022
2024-09-01;UTE;3126;45626736,67;9 ;2022
2024-09-01;UTN;2;1990000,00;9 ;2022
2024-09-01;EOL;978;27707723,86;11;2023
2024-09-01;CGH;687;857218,26;11;2023
2024-09-01;UFV;18172;11004357,83;11;2023
2024-09-01;PCH;427;5787692,56;11;2023
2024-09-01;UHE;215;103195357,00;11;2023
2024-09-01;UTE;3041;46516618,01;11;2023
2024-09-01;UTN;2;1990000,00;11;2023
2024-09-01;EOL;913;25204623,86;3 ;2023
2024-09-01;CGH;719;864042,82;3 ;2023
2024-09-01;UFV;18096;8327093,03;3 ;2023
2024-09-01;PCH;428;5719317,57;3 ;2023
2024-09-01;UHE;215;103195357,00;3 ;2023
2024-09-01;UTE;3015;46057017,41;3 ;2023
2024-09-01;UTN;2;1990000,00;3 ;2023
2024-09-01;EOL;930;25757523,86;5 ;2023
2024-09-01;CGH;724;878791,16;5 ;2023
2024-09-01;UFV;18148;9432602,55;5 ;2023
2024-09-01;PCH;426;5712117,57;5 ;2023
2024-09-01;UHE;215;103195357,00;5 ;2023
2024-09-01;UTE;3027;46284491,01;5 ;2023
2024-09-01;UTN;2;1990000,00;5 ;2023
2024-09-01;EOL;954;26888523,86;8 ;2023
2024-09-01;CGH;709;874959,66;8 ;2023
2024-09-01;UFV;18126;10396179,95;8 ;2023
2024-09-01;PCH;427;5777492,56;8 ;2023
2024-09-01;UHE;215;103195357,00;8 ;2023
2024-09-01;UTE;3037;46441716,01;8 ;2023
2024-09-01;UTN;2;1990000,00;8 ;2023
2024-09-01;EOL;1030;29515523,86;2 ;2024
2024-09-01;CGH;689;863732,26;2 ;2024
2024-09-01;UFV;18241;12298798,94;2 ;2024
2024-09-01;PCH;428;5802906,57;2 ;2024
2024-09-01;UHE;215;103197797,00;2 ;2024
2024-09-01;UTE;3035;46239047,31;2 ;2024
2024-09-01;UTN;2;1990000,00;2 ;2024
2024-09-01;EOL;1054;30666553,86;5 ;2024
2024-09-01;CGH;683;849546,88;5 ;2024
2024-09-01;UFV;18303;13975742,57;5 ;2024
2024-09-01;PCH;430;5822656,57;5 ;2024
2024-09-01;UHE;214;103213069,00;5 ;2024
2024-09-01;UTE;3021;46212744,31;5 ;2024
2024-09-01;UTN;2;1990000,00;5 ;2024
2024-09-01;EOL;1077;31733053,86;8 ;2024
2024-09-01;CGH;682;855105,88;8 ;2024
2024-09-01;UFV;18346;15088754,72;8 ;2024
2024-09-01;PCH;428;5829956,57;8 ;2024
2024-09-01;UHE;214;103196493,00;8 ;2024
2024-09-01;UTE;3024;46109738,16;8 ;2024
2024-09-01;UTN;2;1990000,00;8 ;2024
